Date,Series,Scientific,Common,Location,Activity,Media,Format,Equipment
2020-05-14,"Bird Sounds, 2020",Sylvia borin,Garden Warbler,"Radley, Oxfordshire, UK",Bird song,BS-A-20-001.mp3,Audio,Tascam DR-05X
2020-05-15,"Bird Sounds, 2020",Streptopelia decaocto,Collared Dove,"Abingdon, Oxfordshire, UK",Bird call,BS-A-20-002.mp3,Audio,Tascam DR-05X
2020-05-15,"Bird Sounds, 2020",,Multiple Species,"Thrupp Lake, Abingdon, Oxfordshire, UK",Ambiance,BS-A-20-003.mp3,Audio,Tascam DR-05X
2020-05-19,"Bird Sounds, 2020",Columba palumbus,Woodpigeon,"Abingdon, Oxfordshire, UK",Bird call,BS-A-20-004.mp3,Audio,Tascam DR-05X
2020-05-15,"Bird Sounds, 2020",Chroicocephalus ridibundus,Black-Headed Gull,"Thrupp Lake, Abingdon, Oxfordshire, UK",Bird call,BS-A-20-005.mp3,Audio,Tascam DR-05X
2020-06-03,"Bird Sounds, 2020",Turdus merula,Blackbird,"Abingdon, Oxfordshire, UK",Bird song at dawn,BS-A-20-006.mp3,Audio,Tascam DR-05X
2021-11-15,"Bird Sounds, 2021",Strix aluco,Tawny Owl,"Abingdon, Oxfordshire, UK",Bird call,BS-A-21-001.mp3,Audio,Tascam DR-05X
2025-04-15,"Nesting Great Tits, 2025",Parus major,Great Tit,"Abingdon, Oxfordshire, UK",Returning to the nest,BB-V-25-001.mp4,Video,Greenfeathers Birdbox Camera
2025-04-19,"Bird Sounds, 2025",Cuculus canorus,Cuckoo,"Abingdon, Oxfordshire, UK",Cuckoo call,BS-A-25-001.mp3,Audio,Tascam DR-05X
2025-08-29,"Bird Sounds, 2025",Acridotheres tristis,Common Myna,"Port Launey, Mahe, Seychelles",Evening roosting,BS-A-25-002.mp3,Audio,IPhone 12
