Species,Scientific_Name,Category
13-Spot Ladybird,Hippodamia tredecimpunctata,Beetles
5 Spot Ladybird,Coccinella quinquepunctata,Beetles
African Buffalo,Syncerus caffer,Ungulates
African Bush Elephant,Loxodonta africana,Mammals
African Crested Porcupine ,Hystrix cristata,Mammals
African Fish Eagle,Icthyophaga vocifer,Birds
African Grass Blue Butterfly,Zizeeria knysa,Butterflies
African Harrier-Hawk,Polyboroides typus,Birds
African Pied Wagtail,Motacilla aguimp,Birds
African Pygmy Falcon,Polihierax semitorquatus,Birds
African Serval,Leptailurus serval,Cats
African Spring Hare,Pedetes capensis,Mammals
African Tulip Tree,Spathodea campanulata,Trees
Aldabra Giant Tortoise,Aldebrachelys gigantea,Reptiles
Andouin's Gull,Ichthyaetus audouinii,Birds
Arctic Tern,Sterna paradisaea,Birds
Ashy Starling,Lamprotornis unicolor,Birds
Augur Buzzard,Buteo augur,Birds
Azure Damselfly,Coenagrion puella,Damselflies
Baboon,Papio anubis,Primates
Baglaflecht Weaver (Reichenowi),Ploceus baglafecht reichenowi,Birds
Banded Demoiselle,Calopteryx splendens,Damselflies
Bank Vole,Myodes glareolus,Rodents
Bat-Eared Fox,Otocyon megalotis,Dog Family
Beach Cabbage,Scaevola taccada,Flora
Beautiful Demoiselle,Calopteryx virgo,Damselflies
Beech,Fagus sylvatica,Trees
Bewick's Swan,Cygnus columbianus,Birds
Bindweed,,Flora
Black Garden Ant,Lasius niger,Ants
Black Grouse,Lyrurus tetrix,Birds
Black Tailed Skimmer Dragonfly,Orthetrum cancellatum,Dragonflies
Black-And-White Colobus Monkey,Colobus guereza,Primates
Black-Backed Jackal,Lupulella mesomelas,Dog Family
Black-Crowned Crane,Balearica pavonina,Birds
Black-Headed Gull,Chroicocephalus ridibundus,Birds
Black-Headed Heron,Ardea melanocephala,Birds
Blackbird,Turdus merula,Birds
Blackcap,Sylvia atricapilla,Birds
Blackthorn,Prunus spinosa,Trees
Blue Tit,Cyanistes caeruleus,Birds
Bluebell,Hyacinthoides non-scripta,Flora
Bojer's Skink,Gongylomorphus bojerii,Reptiles
Bramble,Rubus fruticosus,Flora
Brimstone Butterfly,Gonepteryx rhamni,Butterflies
Brimstone Moth,Opisthograptis luteolata,Moths
Broad-Bodied Chaser,Libellula depressa,Dragonflies
Brown Hawker Dragonfly,Aeshna grandis,Dragonflies
Brown Rat,Brown Rat,Rodents
Buddleia,Buddleja ,Shrubs
Buff-Tailed Bumblebee,Bombus terrestris,Bees
Bugle,Ajuga reptans,Flora
Bullfinch,Pyrrhula pyrrhula,Birds
Bulrush,Typha latifolia,Flora
Bumblebee,,Bees
Burdock,Arctium lappa,Flora
Buttercup,Ranunculus,Flora
Buzzard,Buteo buteo,Birds
Canada Goose,Branta canadensis,Birds
Candelabra Euphorbia,Euphorbia candelabrum,Trees
Cardinal Beetle,Pyrochroa coccinea,Beetles
Cats Ear,Hypochaeris radicata,Flora
Cattle Egret,Bubulcus ibis,Birds
Chaffinch,Fringilla coelebs,Birds
Cheetah,Acinonyx jubatus,Cats
Chiffchaff,Phylloscopus collybita,Birds
Cicada,Cicadoidea,Insects
Cinnabar Moth,Tyria jacobaeae,Moths
Clover,Trifolium,Flora
Coal Tit,Periparus ater,Birds
Coco De Mer,Lodoicea maldivica,Trees
Coco De Mer Snail,Stylodonta studeriana,Molluscs
Collared Dove,Streptopelia decaocto,Birds
Colts Foot,Tussilago farfara,Flora
Comma Butterfly,Polygonia c-album,Butterflies
Common Bird’s-Foot Trefoil,Lotus corniculatus,Flora
Common Bleak,Alburnus alburnus,Fish
Common Blue Butterfly,Polyommatus icarus,Butterflies
Common Bulbul,Pycnonotus barbatus,Birds
Common Burdock,Arctium minus,Flora
Common Cleavers,Galium aparine,Flora
Common Comfrey,Symphytum officinale,Flora
Common Darter Dragonfly,Sympetrum striolatum,Dragonflies
Common Dog-Violet,Viola riviniana,Flora
Common Field Speedwell,Veronica persica,Flora
Common Fleabane,Pulicaria dysenterica,Flora
Common Frog,Rana temporaria,Amphibians
Common Green Lacewing,Chrysoperla carnea,Flies
Common Green Tiger Beetle,Cicindela campestris,Beetles
Common Ground Hopper,Tetrix undulata,Insects
Common Gull,Larus canus,Birds
Common Heather,Calluna vulgaris,Shrubs
Common Impala,Aepyceros melampus,Ungulates
Common Kestrel,Falco tinnunculus,Birds
Common Knapweed,Centaurea nigra,Flora
Common Leopard Butterfly,Phalanta Phalanta,Butterflies
Common Mallow,Malva sylvestris,Flora
Common Mayfly,Ephemera danica,Flies
Common Myna,Acridotheres tristis,Birds
Common Ostrich,Struthio camelus,Birds
Common Poppy,Papaver rhoeas,Flora
Common Redstart,Phoenicurus phoenicurus,Birds
Common Reedbuck,Redunca redunca,Ungulates
Common Roach,Rutilus rutilus,Fish
Common Sandpiper,Actitis hypoleucos,Birds
Common Spotted Orchid,Dactylorhiza fuchsii,Flora
Common Starling,Sturnus vulgaris,Birds
Common Tern,Sterna hirundo,Birds
Common Topi,Damaliscus lunatus,Ungulates
Common Vetch,Vicia sativa,Flora
Common Warthog,Phacochoerus africanus,Mammals
Common Wasp,Vespula vulgaris,Wasps
Common Waterbuck,Kobus ellipsiprymnus,Ungulates
Common Wildebeest,Connochaetes taurinus,Ungulates
Common Woodlouse,Oniscus asellus,Invertebrates
Common Yarrow,Achillea millefolium,Flora
Coot,Fulica atra,Birds
Copper Beach,Fagus sylvatica f. purpurea,Trees
Cormorant,Phalacrocorax carbo,Birds
Corn Chamomile,Anthemis arvensis,Flora
Cornflower,Centaurea cyanus,Flora
Cow Parsley,Anthriscus sylvestris,Flora
Cowslip,Primula veris,Flora
Crab Apple,Malus sylvestris,Trees
Crane Fly,Tipulidae,Flies
Cranesbill,Geranium,Flora
Creeping Thistle,Cirsium arvense,Flora
Crested Lark,Galerida cristata,Birds
Crimson Clover,Trifolium incarnatum,Flora
Crossbill,Loxia curvirostra,Birds
Crow,Corvus corone,Birds
Cuckoo,Cuculus canorus,Birds
Cuckoo Pint,Arum maculatum,Flora
Curlew,Numenius arquata,Birds
Daisy,Bellis perennis,Flora
Dandelion,Taraxacum officinale,Flora
Day Gecko,Phelsuma,Reptiles
Deadly Nightshade,Atropa belladonna,Flora
Dog Rose,Rosa canina,Flora
Dor Beetle,Geotrupes stercorarius,Beetles
Dove's Foot Cranesbill,Geranium molle,Flora
Duckweed,Lemna minor,Flora
Dunlin,Calidris alpina,Birds
Dunnock,Prunella modularis,Birds
Dwarf Coconut,Cocos nucifera,Trees
Dwarf Mongoose,Helogale parvula,Mammals
Early Marsh Orchid,Dactylorhiza incarnata,Flora
Eastern Bird-Of-Paradise Flycatcher,Terpsichoris jumlae,Birds
Eastern Chanting Goshawk,Melierax poliopterus,Birds
Echo Parakeet,Psittacula eques,Birds
Egret,,Birds
Egyptian Goose,Alopochen aegyptiaca,Birds
Eider,Somateria mollissima,Birds
Eland,Taurotragus oryx,Ungulates
Elder,Sambucus nigra,Trees
Elecampane,Inula helenium,Flora
Eleonora's Falcon,Falco eleonorae,Birds
Elephant Hawk Moth,Deilephila elpenor,Moths
Emerald Damselfly,Lestes sponsa,Damselflies
Emperor Dragonfly,Anax imperator,Dragonflies
English Oak,Quercus robur,Trees
European Badger,Meles meles,Mammals
European Firebug,Pyrrhocoris apterus,Insects
European Hornet,Vespa crabro,Wasps
Fairy Tern,Gygis alba,Birds
Fairy-Ring Champignon,Marasmius oreades,Fungi
Fallow Deer,Dama dama,Ungulates
Few-Leaved Hawkweed,Hieracium floribundum,Flora
Field Grasshopper,Chorthippus brunneus,Grasshoppers
Fieldfare,Turdus pilaris,Birds
Flesh Fly,Sarcophagidae,Flies
Forget-Me-Not,Myosotis arvensis,Flora
Fork-Tailed Drongo,Dicrurus adsimilis,Birds
Fox,Vulpes vulpes,Dog Family
Foxglove,Digitalis purpurea,Flora
Frigatebird,Fregata spp.,Birds
Frillfin Goby,Bathygobius Soporator,Fish
